id,results_title,results_first_aired,results_imdb_id,results_tvdb,results_themoviedb,results_artwork_208x117,results_artwork_304x171,results_artwork_448x252,results_artwork_608x342,bingeRank,createdAt,updatedAt
1,"Money Heist","2017-05-02 00:00:00",tt6468322,327417,71446,http://static-api.guidebox.com/100117/thumbnails_small/46746-6880046143-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/46746-1168151978-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/46746-4939356758-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/46746-5881144288-608x342.jpg,NULL,NULL,NULL
2,Ozark,"2017-07-21 00:00:00",tt5071412,329089,69740,http://static-api.guidebox.com/091716/thumbnails_small/44356-5173691581-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/44356-2974686995-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_large/44356-132369278-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/44356-3609818295-608x342-show-thumbnail.jpg,NULL,NULL,NULL
3,Westworld,"2016-10-02 00:00:00",tt0475784,296762,63247,http://static-api.guidebox.com/091716/thumbnails_small/38948-4959284808-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/38948-5728639164-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/38948-1003983417-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/38948-7817636546-608x342.jpg,NULL,NULL,NULL
4,Community,"2009-09-17 00:00:00",tt1439629,94571,18347,http://static-api.guidebox.com/thumbnails_small/207-7147074262-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/207-4731318769-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/207-4609058839-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/207-2327306979-608x342.jpg,NULL,NULL,NULL
5,"Better Call Saul","2015-02-08 00:00:00",tt3032476,273181,60059,http://static-api.guidebox.com/120214/thumbnails_small/22655-1016230574-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_medium/22655-1183881932-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_large/22655-9073080597-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_xlarge/22655-7056442871-608x342-show-thumbnail.jpg,NULL,NULL,NULL
6,"The Walking Dead","2010-10-31 00:00:00",tt1520211,153021,1402,http://static-api.guidebox.com/091414/thumbnails_small/703-3422100935-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/703-3368183603-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/703-4248968759-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/703-7681273194-608x342-show-thumbnail.jpg,NULL,NULL,NULL
7,"Game of Thrones","2011-04-17 00:00:00",tt0944947,121361,1399,http://static-api.guidebox.com/060515/thumbnails_small/6959-7755267811-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/6959-8255587010-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/6959-7500693383-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/6959-423900909-608x342.jpg,NULL,NULL,NULL
8,"Breaking Bad","2008-01-20 00:00:00",tt0903747,81189,1396,http://static-api.guidebox.com/091414/thumbnails_small/8523-2963484465-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/8523-1669006613-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/8523-2515840503-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/8523-4005061374-608x342-show-thumbnail.jpg,NULL,NULL,NULL
9,Homeland,"2011-10-02 00:00:00",tt1796960,247897,1407,http://static-api.guidebox.com/091414/thumbnails_small/2625-6650184672-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/2625-8041045526-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/2625-4471222516-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/2625-5774650769-608x342-show-thumbnail.jpg,NULL,NULL,NULL
10,"Killing Eve","2018-04-08 00:00:00",tt7016936,340959,72750,http://static-api.guidebox.com/100117/thumbnails_small/48100-2111485722-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/48100-8042616886-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/48100-2575502377-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/48100-4906501928-608x342.jpg,NULL,NULL,NULL
11,"Grey's Anatomy","2005-03-27 00:00:00",tt0413573,73762,1416,http://static-api.guidebox.com/060515/thumbnails_small/159-7053659996-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/159-4406540240-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/159-5811973219-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/159-6648975853-608x342-show-thumbnail.jpg,NULL,NULL,NULL
12,"The Office","2005-03-24 00:00:00",tt0386676,73244,2316,http://static-api.guidebox.com/thumbnails_small/205-5041042548-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/205-794024850-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/205-8452868517-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/205-657829540-608x342.jpg,NULL,NULL,NULL
13,"Peaky Blinders","2013-09-12 00:00:00",tt2442560,270915,60574,http://static-api.guidebox.com/091414/thumbnails_small/21769-1195113524-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/21769-1152008316-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/21769-6679339749-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/21769-2176648253-608x342-show-thumbnail.jpg,NULL,NULL,NULL
14,"Outer Banks","2020-04-15 00:00:00",tt10293938,379169,0,http://static-api.guidebox.com/100117/thumbnails_small/61176-4086795775-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/61176-3067339333-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/61176-678711110-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/61176-4998031482-608x342.jpg,NULL,NULL,NULL
15,Outlander,"2014-08-09 00:00:00",tt3006802,270408,56570,http://static-api.guidebox.com/091414/thumbnails_small/19447-4208391151-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/19447-7960235886-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/19447-1904469529-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/19447-458304040-608x342-show-thumbnail.jpg,NULL,NULL,NULL
16,Vikings,"2013-03-03 00:00:00",tt2306299,260449,44217,http://static-api.guidebox.com/120214/thumbnails_small/14554-3064087210-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_medium/14554-6577064837-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_large/14554-6113301255-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_xlarge/14554-1164331185-608x342-show-thumbnail.jpg,NULL,NULL,NULL
